commodity,category,unit,year,price
Zinc,Metals,$/mt,2007,3.3744
Zinc,Metals,$/mt,2008,3.4078
Zinc,Metals,$/mt,2009,3.9241
Zinc,Metals,$/mt,2010,3.7335
Zinc,Metals,$/mt,2011,5.1587
Zinc,Metals,$/mt,2012,5.9284
Zinc,Metals,$/mt,2013,6.1798
Zinc,Metals,$/mt,2014,6.2516
Zinc,Metals,$/mt,2015,6.4396
Zinc,Metals,$/mt,2016,5.8128
Zinc,Metals,$/mt,2017,5.9799
Zinc,Metals,$/mt,2018,6.4955
Zinc,Metals,$/mt,2019,7.3561
Zinc,Metals,$/mt,2020,8.3308
Zinc,Metals,$/mt,2021,8.3402
Zinc,Metals,$/mt,2022,6.8863
Zinc,Metals,$/mt,2023,6.4766
Zinc,Metals,$/mt,2024,8.3629
Gold,Metals,$/oz,1990,23.3253
Gold,Metals,$/oz,1991,24.7294
Gold,Metals,$/oz,1992,18.3657
Gold,Metals,$/oz,1993,17.3304
Gold,Metals,$/oz,1994,14.1917
Gold,Metals,$/oz,1995,14.3423
Gold,Metals,$/oz,1996,14.6791
Gold,Metals,$/oz,1997,13.5115
Gold,Metals,$/oz,1998,11.8045
Gold,Metals,$/oz,1999,9.524
Gold,Metals,$/oz,2000,11.5373
Gold,Metals,$/oz,2001,13.352
Gold,Metals,$/oz,2002,8.8333
Gold,Metals,$/oz,2003,9.8631
Gold,Metals,$/oz,2004,8.4043
Gold,Metals,$/oz,2005,10.2612
Gold,Metals,$/oz,2006,8.2213
Gold,Metals,$/oz,2007,9.2725
Gold,Metals,$/oz,2008,10.9601
Gold,Metals,$/oz,2009,11.4256
Gold,Metals,$/oz,2010,13.1961
Gold,Metals,$/oz,2011,13.1431
Gold,Metals,$/oz,2012,15.9872
Gold,Metals,$/oz,2013,16.2409
Gold,Metals,$/oz,2014,17.3077
Gold,Metals,$/oz,2015,18.0685
Gold,Metals,$/oz,2016,18.7384
Gold,Metals,$/oz,2017,18.7189
Gold,Metals,$/oz,2018,22.8014
Gold,Metals,$/oz,2019,33.7365
Gold,Metals,$/oz,2020,44.03
Gold,Metals,$/oz,2021,49.5911
Gold,Metals,$/oz,2022,39.4351
Gold,Metals,$/oz,2023,32.6663
Gold,Metals,$/oz,2024,40.5102
Wheat,Agriculture,$/mt,1990,50.5259
Wheat,Agriculture,$/mt,1991,58.4045
Wheat,Agriculture,$/mt,1992,60.9458
Wheat,Agriculture,$/mt,1993,62.3632
Wheat,Agriculture,$/mt,1994,107.0073
Wheat,Agriculture,$/mt,1995,108.5907
Wheat,Agriculture,$/mt,1996,106.2659
Wheat,Agriculture,$/mt,1997,104.9405
Wheat,Agriculture,$/mt,1998,92.1649
Wheat,Agriculture,$/mt,1999,115.2415
Wheat,Agriculture,$/mt,2000,107.4736
Wheat,Agriculture,$/mt,2001,125.3818
Wheat,Agriculture,$/mt,2002,135.8571
Wheat,Agriculture,$/mt,2003,177.2256
Wheat,Agriculture,$/mt,2004,197.7142
Wheat,Agriculture,$/mt,2005,144.1965
Wheat,Agriculture,$/mt,2006,101.3085
Wheat,Agriculture,$/mt,2007,136.6939
Wheat,Agriculture,$/mt,2008,119.2388
Wheat,Agriculture,$/mt,2009,83.9398
Wheat,Agriculture,$/mt,2010,72.0122
Wheat,Agriculture,$/mt,2011,94.7171
Wheat,Agriculture,$/mt,2012,64.4464
Wheat,Agriculture,$/mt,2013,52.2884
Wheat,Agriculture,$/mt,2014,44.8931
Wheat,Agriculture,$/mt,2015,32.34
Wheat,Agriculture,$/mt,2016,23.8084
Wheat,Agriculture,$/mt,2017,15.6483
Wheat,Agriculture,$/mt,2018,14.196
Wheat,Agriculture,$/mt,2019,13.2352
Wheat,Agriculture,$/mt,2020,11.3141
Wheat,Agriculture,$/mt,2021,7.0735
Wheat,Agriculture,$/mt,2022,9.2849
Wheat,Agriculture,$/mt,2023,6.5176
Wheat,Agriculture,$/mt,2024,7.052
Corn,Agriculture,$/mt,1990,81.3903
Corn,Agriculture,$/mt,1991,84.6084
Corn,Agriculture,$/mt,1992,98.8587
Corn,Agriculture,$/mt,1993,104.0387
Corn,Agriculture,$/mt,1994,81.7042
Corn,Agriculture,$/mt,1995,86.2455
Corn,Agriculture,$/mt,1996,88.3759
Corn,Agriculture,$/mt,1997,74.4933
Corn,Agriculture,$/mt,1998,77.759
Corn,Agriculture,$/mt,1999,84.237
Corn,Agriculture,$/mt,2000,90.4437
Corn,Agriculture,$/mt,2001,95.238
Corn,Agriculture,$/mt,2002,90.0115
Corn,Agriculture,$/mt,2003,104.0405
Corn,Agriculture,$/mt,2004,101.685
Corn,Agriculture,$/mt,2005,93.4568
Corn,Agriculture,$/mt,2006,81.7451
Corn,Agriculture,$/mt,2007,82.6549
Corn,Agriculture,$/mt,2008,85.7274
Corn,Agriculture,$/mt,2009,92.0832
Corn,Agriculture,$/mt,2010,102.0868
Corn,Agriculture,$/mt,2011,100.2708
Corn,Agriculture,$/mt,2012,84.7911
Corn,Agriculture,$/mt,2013,89.7211
Corn,Agriculture,$/mt,2014,99.1187
Corn,Agriculture,$/mt,2015,103.7653
Corn,Agriculture,$/mt,2016,101.7031
Corn,Agriculture,$/mt,2017,82.507
Corn,Agriculture,$/mt,2018,81.6911
Corn,Agriculture,$/mt,2019,71.1296
Corn,Agriculture,$/mt,2020,66.5919
Corn,Agriculture,$/mt,2021,56.4982
Corn,Agriculture,$/mt,2022,53.9925
Corn,Agriculture,$/mt,2023,52.9839
Corn,Agriculture,$/mt,2024,59.5078
Coffee,Agriculture,¢/lb,1990,238.2456
Coffee,Agriculture,¢/lb,1991,247.3523
Coffee,Agriculture,¢/lb,1992,313.0379
Coffee,Agriculture,¢/lb,1993,311.8124
Coffee,Agriculture,¢/lb,1994,326.6511
Coffee,Agriculture,¢/lb,1995,340.7022
Coffee,Agriculture,¢/lb,1996,348.4467
Coffee,Agriculture,¢/lb,1997,373.0843
Coffee,Agriculture,¢/lb,1998,416.2577
Coffee,Agriculture,¢/lb,1999,501.9605
Coffee,Agriculture,¢/lb,2000,440.4748
Coffee,Agriculture,¢/lb,2001,439.1661
Coffee,Agriculture,¢/lb,2002,440.9628
Coffee,Agriculture,¢/lb,2003,511.7315
Coffee,Agriculture,¢/lb,2004,519.0875
Coffee,Agriculture,¢/lb,2005,436.4084
Coffee,Agriculture,¢/lb,2006,464.5714
Coffee,Agriculture,¢/lb,2007,488.185
Coffee,Agriculture,¢/lb,2008,524.7598
Coffee,Agriculture,¢/lb,2009,491.8195
Coffee,Agriculture,¢/lb,2010,614.115
Coffee,Agriculture,¢/lb,2011,625.2165
Coffee,Agriculture,¢/lb,2012,646.0851
Coffee,Agriculture,¢/lb,2013,615.7495
Coffee,Agriculture,¢/lb,2014,584.6843
Coffee,Agriculture,¢/lb,2015,535.9337
Coffee,Agriculture,¢/lb,2016,541.4207
Coffee,Agriculture,¢/lb,2017,512.4811
Coffee,Agriculture,¢/lb,2018,659.4327
Coffee,Agriculture,¢/lb,2019,554.8973
Coffee,Agriculture,¢/lb,2020,514.5431
Coffee,Agriculture,¢/lb,2021,519.3405
Coffee,Agriculture,¢/lb,2022,587.1915
Coffee,Agriculture,¢/lb,2023,591.8482
Coffee,Agriculture,¢/lb,2024,669.3374
Cotton,Agriculture,¢/lb,1990,428.3203
Cotton,Agriculture,¢/lb,1991,414.4326
Cotton,Agriculture,¢/lb,1992,442.7255
Cotton,Agriculture,¢/lb,1993,451.5048
Cotton,Agriculture,¢/lb,1994,451.5391
Cotton,Agriculture,¢/lb,1995,444.5416
Cotton,Agriculture,¢/lb,1996,463.9324
Cotton,Agriculture,¢/lb,1997,482.5734
Cotton,Agriculture,¢/lb,1998,404.7813
Cotton,Agriculture,¢/lb,1999,411.0453
Cotton,Agriculture,¢/lb,2000,432.347
Cotton,Agriculture,¢/lb,2001,449.4561
Cotton,Agriculture,¢/lb,2002,422.1658
Cotton,Agriculture,¢/lb,2003,413.616
Cotton,Agriculture,¢/lb,2004,404.8957
Cotton,Agriculture,¢/lb,2005,361.979
Cotton,Agriculture,¢/lb,2006,372.6891
Cotton,Agriculture,¢/lb,2007,343.5473
Cotton,Agriculture,¢/lb,2008,370.9602
Cotton,Agriculture,¢/lb,2009,369.7329
Cotton,Agriculture,¢/lb,2010,356.2883
Cotton,Agriculture,¢/lb,2011,346.7642
Cotton,Agriculture,¢/lb,2012,339.3277
Cotton,Agriculture,¢/lb,2013,365.7975
Cotton,Agriculture,¢/lb,2014,382.5169
Cotton,Agriculture,¢/lb,2015,368.906
Cotton,Agriculture,¢/lb,2016,368.3116
Cotton,Agriculture,¢/lb,2017,353.3006
Cotton,Agriculture,¢/lb,2018,305.5126
Cotton,Agriculture,¢/lb,2019,320.5059
Cotton,Agriculture,¢/lb,2020,303.6314
Cotton,Agriculture,¢/lb,2021,306.3952
Cotton,Agriculture,¢/lb,2022,282.4121
Cotton,Agriculture,¢/lb,2023,276.2053
Cotton,Agriculture,¢/lb,2024,287.7697
Sugar,Agriculture,$/lb,1990,89.4815
Sugar,Agriculture,$/lb,1991,89.1159
Sugar,Agriculture,$/lb,1992,100.0334
Sugar,Agriculture,$/lb,1993,77.234
Sugar,Agriculture,$/lb,1994,70.3981
Sugar,Agriculture,$/lb,1995,70.5138
Sugar,Agriculture,$/lb,1996,78.0045
Sugar,Agriculture,$/lb,1997,81.6092
Sugar,Agriculture,$/lb,1998,84.7785
Sugar,Agriculture,$/lb,1999,82.0835
Sugar,Agriculture,$/lb,2000,86.9206
Sugar,Agriculture,$/lb,2001,97.9877
Sugar,Agriculture,$/lb,2002,76.1843
Sugar,Agriculture,$/lb,2003,83.0877
Sugar,Agriculture,$/lb,2004,81.7865
Sugar,Agriculture,$/lb,2005,75.9751
Sugar,Agriculture,$/lb,2006,51.9052
Sugar,Agriculture,$/lb,2007,42.547
Sugar,Agriculture,$/lb,2008,51.7014
Sugar,Agriculture,$/lb,2009,46.9746
Sugar,Agriculture,$/lb,2010,40.289
Sugar,Agriculture,$/lb,2011,37.8069
Sugar,Agriculture,$/lb,2012,34.0755
Sugar,Agriculture,$/lb,2013,34.5186
Sugar,Agriculture,$/lb,2014,41.1426
Sugar,Agriculture,$/lb,2015,37.9199
Sugar,Agriculture,$/lb,2016,38.5587
Sugar,Agriculture,$/lb,2017,32.7615
Sugar,Agriculture,$/lb,2018,39.0618
Sugar,Agriculture,$/lb,2019,39.8943
Sugar,Agriculture,$/lb,2020,34.2315
Sugar,Agriculture,$/lb,2021,38.1063
Sugar,Agriculture,$/lb,2022,43.8671
Sugar,Agriculture,$/lb,2023,44.6465
Sugar,Agriculture,$/lb,2024,35.1113
Steel,Industrial,$/mt,1990,64.7508
Steel,Industrial,$/mt,1991,71.2754
Steel,Industrial,$/mt,1992,84.4578
Steel,Industrial,$/mt,1993,88.176
Steel,Industrial,$/mt,1994,85.6187
Steel,Industrial,$/mt,1995,90.9369
Steel,Industrial,$/mt,1996,106.3973
Steel,Industrial,$/mt,1997,110.9169
Steel,Industrial,$/mt,1998,97.267
Steel,Industrial,$/mt,1999,95.7179
Steel,Industrial,$/mt,2000,102.6527
Steel,Industrial,$/mt,2001,101.2177
Steel,Industrial,$/mt,2002,109.9515
Steel,Industrial,$/mt,2003,83.2825
Steel,Industrial,$/mt,2004,93.3449
Steel,Industrial,$/mt,2005,105.295
Steel,Industrial,$/mt,2006,92.9478
Steel,Industrial,$/mt,2007,108.4516
Steel,Industrial,$/mt,2008,113.5082
Steel,Industrial,$/mt,2009,110.3425
Steel,Industrial,$/mt,2010,114.7839
Steel,Industrial,$/mt,2011,124.0245
Steel,Industrial,$/mt,2012,122.2023
Steel,Industrial,$/mt,2013,83.5394
Steel,Industrial,$/mt,2014,82.5795
Steel,Industrial,$/mt,2015,73.9968
Steel,Industrial,$/mt,2016,67.9503
Steel,Industrial,$/mt,2017,69.9076
Steel,Industrial,$/mt,2018,76.6675
Steel,Industrial,$/mt,2019,82.5003
Steel,Industrial,$/mt,2020,93.8635
Steel,Industrial,$/mt,2021,98.0273
Steel,Industrial,$/mt,2022,103.2737
Steel,Industrial,$/mt,2023,114.9762
Steel,Industrial,$/mt,2024,130.7126
Fertilizer,Industrial,$/mt,1990,72.8246
Fertilizer,Industrial,$/mt,1991,75.8346
Fertilizer,Industrial,$/mt,1992,70.1473
Fertilizer,Industrial,$/mt,1993,63.8336
Fertilizer,Industrial,$/mt,1994,75.479
Fertilizer,Industrial,$/mt,1995,42.7513
Fertilizer,Industrial,$/mt,1996,33.5558
Fertilizer,Industrial,$/mt,1997,28.5672
Fertilizer,Industrial,$/mt,1998,28.269
Fertilizer,Industrial,$/mt,1999,14.9579
Fertilizer,Industrial,$/mt,2000,19.1537
Fertilizer,Industrial,$/mt,2001,22.0902
Fertilizer,Industrial,$/mt,2002,31.3838
Fertilizer,Industrial,$/mt,2003,38.9961
Fertilizer,Industrial,$/mt,2004,48.215
Fertilizer,Industrial,$/mt,2005,70.9776
Fertilizer,Industrial,$/mt,2006,65.8039
Fertilizer,Industrial,$/mt,2007,49.1552
Fertilizer,Industrial,$/mt,2008,48.7869
Fertilizer,Industrial,$/mt,2009,42.8369
Fertilizer,Industrial,$/mt,2010,42.3134
Fertilizer,Industrial,$/mt,2011,35.3121
Fertilizer,Industrial,$/mt,2012,40.5057
Fertilizer,Industrial,$/mt,2013,46.0335
Fertilizer,Industrial,$/mt,2014,47.5152
Fertilizer,Industrial,$/mt,2015,52.1513
Fertilizer,Industrial,$/mt,2016,52.6703
Fertilizer,Industrial,$/mt,2017,62.2902
Fertilizer,Industrial,$/mt,2018,65.457
Fertilizer,Industrial,$/mt,2019,64.5483
Fertilizer,Industrial,$/mt,2020,78.5512
Fertilizer,Industrial,$/mt,2021,100.6175
Fertilizer,Industrial,$/mt,2022,130.3719
Fertilizer,Industrial,$/mt,2023,110.3099
Fertilizer,Industrial,$/mt,2024,103.047
Rubber,Industrial,$/mt,1990,56.2838
Rubber,Industrial,$/mt,1991,55.9903
Rubber,Industrial,$/mt,1992,60.1572
Rubber,Industrial,$/mt,1993,52.1139
Rubber,Industrial,$/mt,1994,60.0983
Rubber,Industrial,$/mt,1995,59.2721
Rubber,Industrial,$/mt,1996,59.5556
Rubber,Industrial,$/mt,1997,64.4367
Rubber,Industrial,$/mt,1998,59.7564
Rubber,Industrial,$/mt,1999,58.8907
Rubber,Industrial,$/mt,2000,66.4259
Rubber,Industrial,$/mt,2001,55.4187
Rubber,Industrial,$/mt,2002,49.9726
Rubber,Industrial,$/mt,2003,47.3137
Rubber,Industrial,$/mt,2004,44.4259
Rubber,Industrial,$/mt,2005,50.9472
Rubber,Industrial,$/mt,2006,55.365
Rubber,Industrial,$/mt,2007,52.5003
Rubber,Industrial,$/mt,2008,55.1114
Rubber,Industrial,$/mt,2009,66.1555
Rubber,Industrial,$/mt,2010,79.6837
Rubber,Industrial,$/mt,2011,80.4876
Rubber,Industrial,$/mt,2012,82.7266
Rubber,Industrial,$/mt,2013,88.5313
Rubber,Industrial,$/mt,2014,116.2959
Rubber,Industrial,$/mt,2015,111.0837
Rubber,Industrial,$/mt,2016,114.6257
Rubber,Industrial,$/mt,2017,86.0644
Rubber,Industrial,$/mt,2018,85.9874
Rubber,Industrial,$/mt,2019,98.3272
Rubber,Industrial,$/mt,2020,92.3494
Rubber,Industrial,$/mt,2021,107.3491
Rubber,Industrial,$/mt,2022,99.9213
Rubber,Industrial,$/mt,2023,114.305
Rubber,Industrial,$/mt,2024,111.6003
